area,perimeter,compactness,length,width,asymmetry,groove_length,LABEL
12.05,13.41,0.8416,5.267,2.847,4.988,5.046,Canadian
13.07,13.92,0.848,5.472,2.994,5.304,5.395,Canadian
10.59,12.41,0.8648,4.899,2.787,4.975,4.794,Canadian
11.82,13.4,0.8274,5.314,2.777,4.471,5.178,Canadian
12.11,13.27,0.8639,5.236,2.975,4.132,5.012,Canadian
11.75,13.52,0.8082,5.444,2.678,4.378,5.31,Canadian
11.83,13.23,0.8496,5.263,2.84,5.195,5.307,Canadian
11.4,13.08,0.8375,5.136,2.763,5.588,5.089,Canadian
11.56,13.31,0.8198,5.363,2.683,4.062,5.182,Canadian
12.26,13.6,0.8333,5.408,2.833,4.756,5.36,Canadian
11.55,13.1,0.8455,5.167,2.845,6.715,4.956,Canadian
10.79,12.93,0.8107,5.317,2.648,5.462,5.194,Canadian
13.2,13.66,0.8883,5.236,3.232,8.315,5.056,Canadian
11.21,13.13,0.8167,5.279,2.687,6.169,5.275,Canadian
11.18,12.72,0.868,5.009,2.81,4.051,4.828,Canadian
11.02,13.0,0.8189,5.325,2.701,6.735,5.163,Canadian
12.62,13.67,0.8481,5.41,2.911,3.306,5.231,Canadian
10.8,12.57,0.859,4.981,2.821,4.773,5.063,Canadian
13.37,13.78,0.8849,5.32,3.128,4.67,5.091,Canadian
10.91,12.8,0.8372,5.088,2.675,4.179,4.956,Canadian
11.34,12.87,0.8596,5.053,2.849,3.347,5.003,Canadian
10.83,12.96,0.8099,5.278,2.641,5.182,5.185,Canadian
12.19,13.36,0.8579,5.24,2.909,4.857,5.158,Canadian
11.35,13.12,0.8291,5.176,2.668,4.337,5.132,Canadian
12.49,13.46,0.8658,5.267,2.967,4.421,5.002,Canadian
10.82,12.83,0.8256,5.18,2.63,4.853,5.089,Canadian
11.41,12.95,0.856,5.09,2.775,4.957,4.825,Canadian
12.89,13.77,0.8541,5.495,3.026,6.185,5.316,Canadian
11.81,13.45,0.8198,5.413,2.716,4.898,5.352,Canadian
11.49,13.22,0.8263,5.304,2.695,5.388,5.31,Canadian
15.88,14.9,0.8988,5.618,3.507,0.7651,5.091,Kama
15.26,14.84,0.871,5.763,3.312,2.221,5.22,Kama
14.86,14.67,0.8676,5.678,3.258,2.129,5.351,Kama
16.14,14.99,0.9034,5.658,3.562,1.355,5.175,Kama
14.52,14.6,0.8557,5.741,3.113,1.481,5.487,Kama
14.7,14.21,0.9153,5.205,3.466,1.767,4.649,Kama
15.26,14.85,0.8696,5.714,3.242,4.543,5.314,Kama
13.94,14.17,0.8728,5.585,3.15,2.124,5.012,Kama
13.8,14.04,0.8794,5.376,3.155,1.56,4.961,Kama
13.89,14.02,0.888,5.439,3.199,3.986,4.738,Kama
15.49,14.94,0.8724,5.757,3.371,3.412,5.228,Kama
16.44,15.25,0.888,5.884,3.505,1.969,5.533,Kama
14.01,14.29,0.8625,5.609,3.158,2.217,5.132,Kama
14.38,14.21,0.8951,5.386,3.312,2.462,4.956,Kama
12.36,13.19,0.8923,5.076,3.042,3.22,4.605,Kama
13.16,13.82,0.8662,5.454,2.975,0.8551,5.056,Kama
15.38,14.77,0.8857,5.662,3.419,1.999,5.222,Kama
16.12,15.0,0.9,5.709,3.485,2.27,5.443,Kama
14.92,14.43,0.9006,5.384,3.412,1.142,5.088,Kama
14.99,14.56,0.8883,5.57,3.377,2.958,5.175,Kama
13.99,13.83,0.9183,5.119,3.383,5.234,4.781,Kama
15.05,14.68,0.8779,5.712,3.328,2.129,5.36,Kama
13.16,13.55,0.9009,5.138,3.201,2.461,4.783,Kama
14.11,14.18,0.882,5.541,3.221,2.754,5.038,Kama
14.11,14.1,0.8911,5.42,3.302,2.7,5.0,Kama
14.33,14.28,0.8831,5.504,3.199,3.328,5.224,Kama
13.54,13.85,0.8871,5.348,3.156,2.587,5.178,Kama
15.11,14.54,0.8986,5.579,3.462,3.128,5.18,Kama
15.36,14.76,0.8861,5.701,3.393,1.367,5.132,Kama
12.72,13.57,0.8686,5.226,3.049,4.102,4.914,Kama
18.81,16.29,0.8906,6.272,3.693,3.237,6.053,Rosa
17.63,15.98,0.8673,6.191,3.561,4.076,6.06,Rosa
20.03,16.9,0.8811,6.493,3.857,3.063,6.32,Rosa
16.82,15.51,0.8786,6.017,3.486,4.004,5.841,Rosa
15.99,14.89,0.9064,5.363,3.582,3.336,5.144,Rosa
21.18,17.21,0.8989,6.573,4.033,5.78,6.231,Rosa
16.53,15.34,0.8823,5.875,3.467,5.532,5.88,Rosa
19.18,16.63,0.8717,6.369,3.681,3.357,6.229,Rosa
19.06,16.45,0.8854,6.416,3.719,2.248,6.163,Rosa
20.2,16.89,0.8894,6.285,3.864,5.173,6.187,Rosa
17.99,15.86,0.8992,5.89,3.694,2.068,5.837,Rosa
17.12,15.55,0.8892,5.85,3.566,2.858,5.746,Rosa
15.57,15.15,0.8527,5.92,3.231,2.64,5.879,Rosa
16.77,15.62,0.8638,5.927,3.438,4.92,5.795,Rosa
15.38,14.9,0.8706,5.884,3.268,4.462,5.795,Rosa
16.41,15.25,0.8866,5.718,3.525,4.217,5.618,Rosa
20.16,17.03,0.8735,6.513,3.773,1.91,6.185,Rosa
18.83,16.29,0.8917,6.037,3.786,2.553,5.879,Rosa
17.98,15.85,0.8993,5.979,3.687,2.257,5.919,Rosa
19.15,16.45,0.889,6.245,3.815,3.084,6.185,Rosa
18.88,16.26,0.8969,6.084,3.764,1.649,6.109,Rosa
18.95,16.42,0.8829,6.248,3.755,3.368,6.148,Rosa
19.13,16.31,0.9035,6.183,3.902,2.109,5.924,Rosa
18.17,16.26,0.8637,6.271,3.512,2.853,6.273,Rosa
20.71,17.23,0.8763,6.579,3.814,4.451,6.451,Rosa
18.43,15.97,0.9077,5.98,3.771,2.984,5.905,Rosa
18.45,16.12,0.8921,6.107,3.769,2.235,5.794,Rosa
20.97,17.25,0.8859,6.563,3.991,4.677,6.316,Rosa
18.96,16.2,0.9077,6.051,3.897,4.334,5.75,Rosa
20.88,17.05,0.9031,6.45,4.032,5.016,6.321,Rosa
